id,Classic,Deal,Flex,Saver
60001,0.49,0.12,0.13,0.25
60002,0.06,0.76,0.05,0.13
60003,0.29,0.27,0.27,0.18
60004,0.49,0.12,0.13,0.25
60005,0.46,0.16,0.05,0.33
60006,0.16,0.52,0.03,0.29
60007,0.25,0.31,0.28,0.16
60008,0.25,0.31,0.28,0.16
60009,0.55,0.21,0.01,0.23
60010,0.46,0.16,0.05,0.33
60011,0.43,0.30,0.07,0.21
60012,0.58,0.15,0.06,0.21
60013,0.56,0.06,0.18,0.20
60014,0.48,0.14,0.09,0.28
60015,0.50,0.18,0.02,0.30
60016,0.55,0.21,0.01,0.23
60017,0.46,0.16,0.05,0.33
60018,0.58,0.15,0.06,0.21
60019,0.56,0.06,0.18,0.20
60020,0.25,0.31,0.28,0.16
60021,0.55,0.18,0.10,0.17
60022,0.50,0.18,0.02,0.30
60023,0.58,0.15,0.06,0.21
60024,0.16,0.52,0.03,0.29
60025,0.59,0.19,0.09,0.14
60026,0.50,0.18,0.02,0.30
60027,0.55,0.18,0.10,0.17
60028,0.50,0.18,0.02,0.30
60029,0.16,0.69,0.02,0.13
60030,0.16,0.69,0.02,0.13
60031,0.50,0.18,0.02,0.30
60032,0.25,0.31,0.28,0.16
60033,0.29,0.27,0.27,0.18
60034,0.48,0.14,0.09,0.28
60035,0.50,0.18,0.02,0.30
60036,0.29,0.27,0.27,0.18
60037,0.50,0.18,0.02,0.30
60038,0.55,0.18,0.10,0.17
60039,0.27,0.27,0.34,0.12
60040,0.29,0.27,0.27,0.18
60041,0.15,0.66,0.02,0.17
60042,0.46,0.16,0.05,0.33
60043,0.06,0.76,0.05,0.13
60044,0.55,0.21,0.01,0.23
60045,0.50,0.18,0.02,0.30
60046,0.55,0.21,0.01,0.23
60047,0.48,0.14,0.09,0.28
60048,0.50,0.18,0.02,0.30
60049,0.49,0.12,0.13,0.25
60050,0.58,0.15,0.06,0.21
60051,0.55,0.18,0.10,0.17
60052,0.27,0.27,0.34,0.12
60053,0.48,0.14,0.09,0.28
60054,0.50,0.18,0.02,0.30
60055,0.43,0.30,0.07,0.21
60056,0.58,0.15,0.06,0.21
60057,0.12,0.56,0.01,0.30
60058,0.54,0.22,0.04,0.20
60059,0.55,0.21,0.01,0.23
60060,0.14,0.56,0.02,0.28
60061,0.49,0.12,0.13,0.25
60062,0.08,0.77,0.01,0.14
60063,0.58,0.15,0.06,0.21
60064,0.55,0.18,0.10,0.17
60065,0.25,0.38,0.06,0.31
60066,0.56,0.06,0.18,0.20
60067,0.56,0.06,0.18,0.20
60068,0.12,0.61,0.00,0.26
60069,0.27,0.27,0.34,0.12
60070,0.59,0.19,0.09,0.14
60071,0.55,0.18,0.10,0.17
60072,0.08,0.77,0.01,0.14
60073,0.25,0.31,0.28,0.16
60074,0.59,0.19,0.09,0.14
60075,0.13,0.70,0.01,0.16
60076,0.61,0.15,0.03,0.21
60077,0.59,0.19,0.09,0.14
60078,0.56,0.06,0.18,0.20
60079,0.50,0.18,0.02,0.30
60080,0.55,0.18,0.10,0.17
60081,0.29,0.27,0.27,0.18
60082,0.06,0.79,0.06,0.09
60083,0.06,0.79,0.06,0.09
60084,0.56,0.06,0.18,0.20
60085,0.50,0.18,0.02,0.30
60086,0.58,0.15,0.06,0.21
60087,0.50,0.18,0.02,0.30
60088,0.48,0.14,0.09,0.28
60089,0.43,0.30,0.07,0.21
60090,0.46,0.16,0.05,0.33
60091,0.56,0.06,0.18,0.20
60092,0.56,0.06,0.18,0.20
60093,0.55,0.21,0.01,0.23
60094,0.56,0.06,0.18,0.20
60095,0.56,0.06,0.18,0.20
60096,0.48,0.14,0.09,0.28
60097,0.59,0.19,0.09,0.14
60098,0.48,0.14,0.09,0.28
60099,0.56,0.06,0.18,0.20
60100,0.55,0.18,0.10,0.17
60101,0.58,0.15,0.06,0.21
60102,0.16,0.69,0.02,0.13
60103,0.48,0.14,0.09,0.28
60104,0.49,0.12,0.13,0.25
60105,0.08,0.77,0.01,0.14
60106,0.56,0.06,0.18,0.20
60107,0.43,0.30,0.07,0.21
60108,0.55,0.18,0.10,0.17
60109,0.46,0.16,0.05,0.33
60110,0.55,0.18,0.10,0.17
60111,0.55,0.18,0.10,0.17
60112,0.17,0.60,0.01,0.22
60113,0.25,0.31,0.28,0.16
60114,0.58,0.15,0.06,0.21
60115,0.48,0.14,0.09,0.28
60116,0.48,0.14,0.09,0.28
60117,0.46,0.16,0.05,0.33
60118,0.50,0.18,0.02,0.30
60119,0.29,0.27,0.27,0.18
60120,0.13,0.67,0.00,0.20
60121,0.43,0.30,0.07,0.21
60122,0.13,0.70,0.01,0.16
60123,0.27,0.27,0.34,0.12
60124,0.43,0.30,0.07,0.21
60125,0.48,0.14,0.09,0.28
60126,0.61,0.15,0.03,0.21
60127,0.59,0.19,0.09,0.14
60128,0.46,0.16,0.05,0.33
60129,0.06,0.79,0.06,0.09
60130,0.43,0.30,0.07,0.21
60131,0.50,0.18,0.02,0.30
60132,0.50,0.18,0.02,0.30
60133,0.15,0.66,0.02,0.17
