id,Classic,Deal,Flex,Saver
73831,0.08,0.77,0.01,0.14
73832,0.12,0.61,0.00,0.26
73833,0.43,0.30,0.07,0.21
73834,0.08,0.77,0.01,0.14
73835,0.55,0.21,0.01,0.23
73836,0.49,0.12,0.13,0.25
73837,0.25,0.31,0.28,0.16
73838,0.50,0.18,0.02,0.30
73839,0.48,0.14,0.09,0.28
73840,0.55,0.21,0.01,0.23
73841,0.16,0.69,0.02,0.13
73842,0.43,0.30,0.07,0.21
73843,0.49,0.12,0.13,0.25
73844,0.55,0.21,0.01,0.23
73845,0.56,0.06,0.18,0.20
73846,0.27,0.27,0.34,0.12
73847,0.06,0.76,0.05,0.13
73848,0.12,0.61,0.00,0.26
73849,0.12,0.61,0.00,0.26
73850,0.54,0.22,0.04,0.20
73851,0.59,0.19,0.09,0.14
73852,0.50,0.18,0.02,0.30
73853,0.61,0.15,0.03,0.21
73854,0.56,0.06,0.18,0.20
73855,0.55,0.21,0.01,0.23
73856,0.58,0.15,0.06,0.21
73857,0.59,0.19,0.09,0.14
73858,0.29,0.27,0.27,0.18
73859,0.61,0.15,0.03,0.21
73860,0.13,0.67,0.00,0.20
73861,0.25,0.38,0.06,0.31
73862,0.14,0.56,0.02,0.28
73863,0.50,0.18,0.02,0.30
73864,0.58,0.15,0.06,0.21
73865,0.06,0.79,0.06,0.09
73866,0.48,0.14,0.09,0.28
73867,0.15,0.66,0.02,0.17
73868,0.50,0.18,0.02,0.30
73869,0.50,0.18,0.02,0.30
73870,0.16,0.69,0.02,0.13
73871,0.50,0.18,0.02,0.30
73872,0.46,0.16,0.05,0.33
73873,0.55,0.21,0.01,0.23
73874,0.55,0.18,0.10,0.17
73875,0.29,0.27,0.27,0.18
73876,0.48,0.14,0.09,0.28
73877,0.49,0.12,0.13,0.25
73878,0.50,0.18,0.02,0.30
73879,0.50,0.18,0.02,0.30
73880,0.50,0.18,0.02,0.30
73881,0.50,0.18,0.02,0.30
73882,0.56,0.06,0.18,0.20
73883,0.15,0.66,0.02,0.17
73884,0.16,0.69,0.02,0.13
73885,0.61,0.15,0.03,0.21
73886,0.54,0.22,0.04,0.20
73887,0.43,0.30,0.07,0.21
73888,0.55,0.18,0.10,0.17
73889,0.12,0.61,0.00,0.26
73890,0.50,0.18,0.02,0.30
73891,0.43,0.30,0.07,0.21
73892,0.50,0.18,0.02,0.30
73893,0.27,0.27,0.34,0.12
73894,0.05,0.80,0.04,0.11
73895,0.59,0.19,0.09,0.14
73896,0.50,0.18,0.02,0.30
73897,0.29,0.27,0.27,0.18
73898,0.59,0.19,0.09,0.14
73899,0.58,0.15,0.06,0.21
73900,0.55,0.21,0.01,0.23
73901,0.12,0.61,0.00,0.26
73902,0.12,0.61,0.00,0.26
73903,0.58,0.15,0.06,0.21
73904,0.15,0.66,0.02,0.17
73905,0.12,0.61,0.00,0.26
73906,0.15,0.66,0.02,0.17
73907,0.43,0.30,0.07,0.21
73908,0.05,0.80,0.04,0.11
73909,0.12,0.61,0.00,0.26
73910,0.25,0.38,0.06,0.31
73911,0.61,0.15,0.03,0.21
73912,0.55,0.21,0.01,0.23
73913,0.55,0.18,0.10,0.17
73914,0.29,0.27,0.27,0.18
73915,0.13,0.67,0.00,0.20
73916,0.46,0.16,0.05,0.33
73917,0.08,0.77,0.01,0.14
73918,0.12,0.61,0.00,0.26
73919,0.27,0.27,0.34,0.12
73920,0.29,0.27,0.27,0.18
73921,0.58,0.15,0.06,0.21
73922,0.49,0.12,0.13,0.25
73923,0.59,0.19,0.09,0.14
73924,0.13,0.70,0.01,0.16
73925,0.27,0.27,0.34,0.12
73926,0.58,0.15,0.06,0.21
73927,0.48,0.14,0.09,0.28
73928,0.50,0.18,0.02,0.30
73929,0.17,0.60,0.01,0.22
73930,0.18,0.60,0.01,0.22
73931,0.50,0.18,0.02,0.30
73932,0.27,0.27,0.34,0.12
73933,0.50,0.18,0.02,0.30
73934,0.27,0.27,0.34,0.12
73935,0.43,0.30,0.07,0.21
73936,0.56,0.06,0.18,0.20
73937,0.50,0.18,0.02,0.30
73938,0.58,0.15,0.06,0.21
73939,0.58,0.15,0.06,0.21
73940,0.12,0.56,0.01,0.30
73941,0.25,0.38,0.06,0.31
73942,0.61,0.15,0.03,0.21
73943,0.59,0.19,0.09,0.14
73944,0.43,0.30,0.07,0.21
73945,0.55,0.21,0.01,0.23
73946,0.27,0.27,0.34,0.12
73947,0.29,0.27,0.27,0.18
73948,0.58,0.15,0.06,0.21
